OOdist,OHOangle,E_hartree,E_kcalmol,E_kcalmol_scaled
2.5,90.0,-152.86338707608695,-95921.77539024455,0.0
2.5,90.1,-152.86339479347828,-95921.78023290762,-0.004842663057615937
2.5,90.2,-152.86340251086958,-95921.78507557066,-0.009685326097397251
2.5,90.3,-152.86341022826088,-95921.7899182337,-0.014527989137178565
2.5,90.4,-152.86341823913045,-95921.79494505435,-0.019554809797597272
2.5,90.5,-152.8634262826087,-95921.79999233696,-0.024602092405956455
2.5,90.6,-152.86343432608697,-95921.80503961958,-0.029649375014315638
2.5,90.7,-152.86344236956523,-95921.81008690219,-0.03469665762267482
2.5,90.8,-152.8634504130435,-95921.8151341848,-0.039743940231034
2.5,90.9,-152.86345845652176,-95921.8201814674,-0.044791222839393185
2.5,91.0,-152.8634665,-95921.82522874999,-0.049838505429917745
2.5,91.1,-152.86347454347825,-95921.8302760326,-0.05488578803827693
2.5,91.2,-152.8634825869565,-95921.83532331522,-0.05993307064663611
2.5,91.3,-152.86349073404256,-95921.84043561171,-0.06504536714260212
2.5,91.4,-152.8634989255319,-95921.84557577127,-0.07018552670523093
2.5,91.5,-152.86350711702127,-95921.85071593085,-0.07532568628569436
2.5,91.6,-152.86351530851064,-95921.85585609043,-0.08046584586615779
2.5,91.7,-152.86352349999999,-95921.86099624999,-0.0856060054287866
2.5,91.8,-152.86353169148936,-95921.86613640958,-0.09074616500925003
2.5,91.9,-152.86353988297873,-95921.87127656915,-0.09588632458971347
2.5,92.0,-152.8635480744681,-95921.87641672873,-0.1010264841701769
2.5,92.1,-152.86355626595744,-95921.8815568883,-0.10616664373280571
2.5,92.2,-152.86356461702127,-95921.88679718085,-0.11140693628377107
2.5,92.3,-152.86357334042555,-95921.89227111703,-0.11688087246824352
2.5,92.4,-152.8635820638298,-95921.8977450532,-0.12235480863488135
2.5,92.5,-152.86359078723405,-95921.90321898936,-0.12782874480151918
2.5,92.6,-152.8635995106383,-95921.90869292553,-0.133302680968157
2.5,92.7,-152.86360823404254,-95921.9141668617,-0.13877661713479483
2.5,92.8,-152.8636169574468,-95921.91964079786,-0.14425055330143266
2.5,92.9,-152.86362568085107,-95921.92511473405,-0.1497244894859051
2.5,93.0,-152.86363440425532,-95921.93058867022,-0.15519842565254294
2.5,93.1,-152.86364312765957,-95921.93606260639,-0.16067236181918076
2.5,93.2,-152.86365195789475,-95921.94160357895,-0.1662133343909744
2.5,93.3,-152.8636608,-95921.947152,-0.17176175543241357
2.5,93.4,-152.86366964210526,-95921.95270042105,-0.17731017649168734
2.5,93.5,-152.86367848421054,-95921.95824884211,-0.18285859755096112
2.5,93.6,-152.86368732631578,-95921.96379726316,-0.18840701859240028
2.5,93.7,-152.86369616842106,-95921.9693456842,-0.19395543965167406
2.5,93.8,-152.86370501052633,-95921.97489410527,-0.19950386071094783
2.5,93.9,-152.86371385263158,-95921.98044252631,-0.205052281752387
2.5,94.0,-152.86372269473685,-95921.98599094737,-0.21060070281166077
2.5,94.1,-152.86373175,-95921.991673125,-0.21628288043771704
2.5,94.2,-152.86374112500002,-95921.99755593752,-0.2221656929496163
2.5,94.3,-152.8637505,-95922.00343875,-0.22804850544368094
2.5,94.4,-152.863759875,-95922.0093215625,-0.23393131793774558
2.5,94.5,-152.86376925000002,-95922.01520437501,-0.23981413044964484
2.5,94.6,-152.863778625,-95922.0210871875,-0.24569694294370947
2.5,94.7,-152.863788,-95922.02697,-0.2515797554377741
2.5,94.8,-152.86379737500002,-95922.03285281251,-0.25746256794967337
2.5,94.9,-152.86380675,-95922.038735625,-0.263345380443738
2.5,95.0,-152.863816125,-95922.0446184375,-0.26922819293780265
2.5,95.1,-152.86382575257733,-95922.05065974228,-0.27526949771072395
2.5,95.2,-152.86383544329897,-95922.0567406701,-0.28135042553998346
2.5,95.3,-152.86384513402064,-95922.06282159795,-0.2874313533870776
2.5,95.4,-152.86385482474228,-95922.06890252577,-0.2935122812163371
2.5,95.5,-152.86386451546392,-95922.07498345361,-0.2995932090455966
2.5,95.6,-152.86387420618556,-95922.08106438143,-0.3056741368748561
2.5,95.7,-152.86388389690723,-95922.08714530928,-0.31175506472195025
2.5,95.8,-152.86389358762887,-95922.0932262371,-0.31783599255120976
2.5,95.9,-152.8639032783505,-95922.09930716494,-0.32391692038046926
2.5,96.0,-152.863913,-95922.1054075,-0.3300172554359193
2.5,96.1,-152.863923,-95922.1116825,-0.3362922554379111
2.5,96.2,-152.863933,-95922.1179575,-0.34256725543990285
2.5,96.3,-152.863943,-95922.1242325,-0.3488422554418946
2.5,96.4,-152.863953,-95922.13050750001,-0.3551172554438864
2.5,96.5,-152.863963,-95922.1367825,-0.36139225544587816
2.5,96.6,-152.86397300000002,-95922.14305750001,-0.36766725544786993
2.5,96.7,-152.86398300000002,-95922.1493325,-0.3739422554498617
2.5,96.8,-152.863993,-95922.1556075,-0.38021725543401885
2.5,96.9,-152.864003,-95922.1618825,-0.3864922554360106
2.5,97.0,-152.86401315306122,-95922.16825354591,-0.39286330135503533
2.5,97.1,-152.8640236632653,-95922.17484869898,-0.39945845441380357
2.5,97.2,-152.8640341734694,-95922.18144385205,-0.4060536074904064
2.5,97.3,-152.86404468367348,-95922.18803900511,-0.41264876054917465
2.5,97.4,-152.86405519387756,-95922.19463415816,-0.4192439136079429
2.5,97.5,-152.86406570408164,-95922.20122931123,-0.4258390666667111
2.5,97.6,-152.86407621428572,-95922.20782446429,-0.43243421972547935
2.5,97.7,-152.8640867244898,-95922.21441961735,-0.4390293727842476
2.5,97.8,-152.86409723469387,-95922.2210147704,-0.4456245258430158
2.5,97.9,-152.86410774489795,-95922.22760992346,-0.45221967890178405
2.5,98.0,-152.86411845,-95922.234327375,-0.4589371304421519
2.5,98.1,-152.86412935,-95922.241167125,-0.46577688044628474
2.5,98.2,-152.86414025,-95922.248006875,-0.47261663043258295
2.5,98.3,-152.86415115,-95922.254846625,-0.4794563804367158
2.5,98.4,-152.86416205,-95922.261686375,-0.48629613044084863
2.5,98.5,-152.86417295,-95922.268526125,-0.49313588044498147
2.5,98.6,-152.86418385000002,-95922.27536587502,-0.4999756304491143
2.5,98.7,-152.86419475000002,-95922.28220562502,-0.5068153804532471
2.5,98.8,-152.86420565,-95922.289045375,-0.5136551304395454
2.5,98.9,-152.86421655,-95922.295885125,-0.5204948804436782
2.5,99.0,-152.86422764356436,-95922.30284633664,-0.5274560920754112
2.5,99.1,-152.8642389306931,-95922.30992900992,-0.534538765352579
2.5,99.2,-152.8642502178218,-95922.31701168318,-0.5416214386119123
2.5,99.3,-152.86426150495052,-95922.32409435645,-0.5487041118890801
2.5,99.4,-152.86427279207922,-95922.33117702972,-0.5557867851484133
2.5,99.5,-152.86428407920792,-95922.33825970297,-0.5628694584077465
2.5,99.6,-152.86429536633665,-95922.34534237624,-0.5699521316849143
2.5,99.7,-152.86430665346535,-95922.35242504951,-0.5770348049442475
2.5,99.8,-152.86431794059408,-95922.35950772278,-0.5841174782214154
2.5,99.9,-152.86432922772278,-95922.36659039604,-0.5912001514807486
2.5,100.0,-152.86434079207922,-95922.37384702971,-0.5984567851476896
2.5,100.1,-152.86435277227724,-95922.38136460396,-0.6059743594082079
2.5,100.2,-152.86436475247524,-95922.38888217822,-0.6134919336508915
2.5,100.3,-152.86437673267326,-95922.39639975247,-0.6210095079114097
2.5,100.4,-152.8643887128713,-95922.40391732674,-0.628527082171928
2.5,100.5,-152.8644006930693,-95922.41143490099,-0.6360446564324462
2.5,100.6,-152.8644126732673,-95922.41895247524,-0.6435622306751299
2.5,100.7,-152.86442465346533,-95922.4264700495,-0.6510798049356481
2.5,100.8,-152.86443663366336,-95922.43398762376,-0.6585973791961663
2.5,100.9,-152.86444861386138,-95922.44150519802,-0.6661149534566846
2.5,101.0,-152.8644606699029,-95922.44907036408,-0.673680119514799
2.5,101.1,-152.8644729029126,-95922.45674657766,-0.6813563331006378
2.5,101.2,-152.86448513592234,-95922.46442279126,-0.6890325467043112
2.5,101.3,-152.86449736893204,-95922.47209900485,-0.69670876029015
2.5,101.4,-152.86450960194173,-95922.47977521844,-0.7043849738759889
2.5,101.5,-152.86452183495146,-95922.48745143204,-0.7120611874796623
2.5,101.6,-152.86453406796116,-95922.49512764563,-0.7197374010655011
2.5,101.7,-152.8645463009709,-95922.50280385923,-0.7274136146691745
2.5,101.8,-152.86455853398058,-95922.51048007281,-0.7350898282550133
2.5,101.9,-152.8645707669903,-95922.51815628642,-0.7427660418586868
2.5,102.0,-152.864583,-95922.5258325,-0.7504422554445256
2.5,102.1,-152.8645958846154,-95922.53391759616,-0.7585273515999091
2.5,102.2,-152.86460876923078,-95922.54200269232,-0.7666124477552927
2.5,102.3,-152.86462165384617,-95922.55008778848,-0.7746975439106762
2.5,102.4,-152.86463453846156,-95922.55817288463,-0.7827826400660598
2.5,102.5,-152.86464742307695,-95922.56625798078,-0.7908677362214434
2.5,102.6,-152.86466030769233,-95922.57434307694,-0.7989528323768269
2.5,102.7,-152.8646731923077,-95922.58242817307,-0.8070379285143758
2.5,102.8,-152.86468607692308,-95922.59051326923,-0.8151230246697594
2.5,102.9,-152.86469896153847,-95922.59859836538,-0.8232081208251429
2.5,103.0,-152.86471184615385,-95922.60668346155,-0.8312932169805265
2.5,103.1,-152.86472500000002,-95922.61493750001,-0.8395472554514072
2.5,103.2,-152.86473833333335,-95922.62330416667,-0.8479139221147847
2.5,103.3,-152.86475166666668,-95922.63167083335,-0.8562805887781622
2.5,103.4,-152.864765,-95922.64003750001,-0.8646472554415396
2.5,103.5,-152.86477833333333,-95922.64840416667,-0.8730139221049171
2.5,103.6,-152.86479166666666,-95922.65677083333,-0.8813805887682946
2.5,103.7,-152.86480500000002,-95922.66513750001,-0.8897472554495067
2.5,103.8,-152.86481833333335,-95922.67350416667,-0.8981139221128842
2.5,103.9,-152.86483166666667,-95922.68187083334,-0.9064805887762617
2.5,104.0,-152.864845,-95922.6902375,-0.9148472554396392
2.5,104.1,-152.86485838679246,-95922.69863771227,-0.9232474677084923
2.5,104.2,-152.86487225471697,-95922.7073398349,-0.9319495903374531
2.5,104.3,-152.8648861226415,-95922.71604195755,-0.9406517129842484
2.5,104.4,-152.86489999056604,-95922.72474408019,-0.9493538356310438
2.5,104.5,-152.86491385849055,-95922.73344620282,-0.9580559582600046
2.5,104.6,-152.8649277264151,-95922.74214832547,-0.9667580809067999
2.5,104.7,-152.86494159433963,-95922.75085044811,-0.9754602035535953
2.5,104.8,-152.86495546226416,-95922.75955257076,-0.9841623262003907
2.5,104.9,-152.86496933018867,-95922.7682546934,-0.9928644488293514
2.5,105.0,-152.8649831981132,-95922.77695681604,-1.0015665714761468
2.5,105.1,-152.86499706603774,-95922.78565893868,-1.0102686941229422
2.5,105.2,-152.8650111962617,-95922.79452565422,-1.019135409648797
2.5,105.3,-152.86502558878504,-95922.80355696262,-1.0281667180537113
2.5,105.4,-152.8650399813084,-95922.81258827102,-1.0371980264586256
2.5,105.5,-152.86505437383178,-95922.82161957944,-1.0462293348813745
2.5,105.6,-152.86506876635514,-95922.83065088784,-1.0552606432862888
2.5,105.7,-152.86508315887852,-95922.83968219627,-1.0642919517090377
2.5,105.8,-152.86509755140187,-95922.84871350467,-1.073323260113952
2.5,105.9,-152.86511194392523,-95922.85774481308,-1.0823545685188662
2.5,106.0,-152.8651263364486,-95922.8667761215,-1.0913858769416152
2.5,106.1,-152.86514072897197,-95922.87580742991,-1.1004171853465294
2.5,106.2,-152.86515512149535,-95922.88483873833,-1.1094484937692783
2.5,106.3,-152.86517014814817,-95922.89426796297,-1.1188777184126053
2.5,106.4,-152.86518533333333,-95922.90379666667,-1.1284064221021595
2.5,106.5,-152.86520051851852,-95922.91332537038,-1.1379351258095483
2.5,106.6,-152.8652157037037,-95922.92285407407,-1.147463829516937
2.5,106.7,-152.8652308888889,-95922.93238277778,-1.1569925332243258
2.5,106.8,-152.86524607407407,-95922.94191148148,-1.16652123691388
2.5,106.9,-152.86526125925926,-95922.95144018518,-1.1760499406212688
2.5,107.0,-152.86527644444445,-95922.96096888889,-1.1855786443286576
2.5,107.1,-152.86529162962964,-95922.9704975926,-1.1951073480360463
2.5,107.2,-152.8653068148148,-95922.98002629628,-1.2046360517256005
2.5,107.3,-152.865322,-95922.989555,-1.2141647554329893
2.5,107.4,-152.86533741284404,-95922.99922655964,-1.2238363150743226
